
> rest-express@1.0.0 dev:itk
> npm run dev:setup && DICOM_REG_CONVERTER=/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/build/dicom-reg-converter/dicom_reg_to_h5 FUSEBOX_PYTHON=/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/sam_env/bin/python PORT=3000 NODE_ENV=development tsx watch server/index.ts


> rest-express@1.0.0 dev:setup
> node -e "console.log('🔧 Checking Fusebox setup...'); const fs = require('fs'); const path = require('path'); const helperPath = path.join(__dirname, 'build/dicom-reg-converter/dicom_reg_to_h5'); const pythonPath = path.join(__dirname, 'sam_env/bin/python'); if (!fs.existsSync(helperPath)) { console.error('❌ DICOM helper not found at:', helperPath); console.error('Run: cmake --build build/dicom-reg-converter'); process.exit(1); } if (!fs.existsSync(pythonPath)) { console.error('❌ Python venv not found at:', pythonPath); console.error('Run: python -m venv sam_env && source sam_env/bin/activate && pip install -e .'); process.exit(1); } console.log('✅ Fusebox setup verified'); console.log('🐟 DICOM helper:', helperPath); console.log('🐍 Python interpreter:', pythonPath);"

🔧 Checking Fusebox setup...
✅ Fusebox setup verified
🐟 DICOM helper: build/dicom-reg-converter/dicom_reg_to_h5
🐍 Python interpreter: sam_env/bin/python
[2025-09-30T03:38:28.925Z] [server] INFO: 🚀 Server running on port 3000
2025-09-30T03:38:30.252Z - GET /src/components/patient-manager/dicom-thumbnail.tsx
2025-09-30T03:38:30.252Z - GET /src/components/dicom/fusion-debug-dialog.tsx
2025-09-30T03:38:30.252Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-KBTYAULA.js
2025-09-30T03:38:30.252Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/class-variance-authority.js
2025-09-30T03:38:30.266Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/@radix-ui_react-toast.js
2025-09-30T03:38:30.266Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-CXHEV2X6.js
2025-09-30T03:38:30.266Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-SVCK53DA.js
2025-09-30T03:38:30.272Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/@radix-ui_react-slot.js
2025-09-30T03:38:30.273Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/@radix-ui_react-select.js
2025-09-30T03:38:30.273Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-R5YVGTHA.js
2025-09-30T03:38:30.273Z - GET /src/components/dicom/series-selector.tsx
2025-09-30T03:38:30.273Z - GET /src/components/dicom/working-viewer.tsx
2025-09-30T03:38:30.276Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-YN3QL25T.js
2025-09-30T03:38:30.276Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-4DO6V6VF.js
2025-09-30T03:38:30.276Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-P6AUOPGQ.js
2025-09-30T03:38:30.276Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-OXZDJRWN.js
2025-09-30T03:38:30.276Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-BOL2CCOG.js
2025-09-30T03:38:30.276Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-UQHGR4RG.js
2025-09-30T03:38:30.482Z - GET /src/components/dicom/viewer-toolbar.tsx
2025-09-30T03:38:30.482Z - GET /src/components/dicom/contour-edit-toolbar.tsx
2025-09-30T03:38:30.482Z - GET /src/components/dicom/fusion-control-panel.tsx
2025-09-30T03:38:30.482Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-EVLBUYTV.js
2025-09-30T03:38:30.482Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/clsx.js
2025-09-30T03:38:30.482Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/tailwind-merge.js
2025-09-30T03:38:30.482Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/@radix-ui_react-label.js
2025-09-30T03:38:30.482Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/@radix-ui_react-dialog.js
2025-09-30T03:38:30.482Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/@radix-ui_react-checkbox.js
2025-09-30T03:38:30.482Z - GET /src/components/dicom/error-modal.tsx
2025-09-30T03:38:30.484Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-4BFJKWC4.js
2025-09-30T03:38:30.494Z - GET /src/components/dicom/fusion-control-panel.tsx
2025-09-30T03:38:30.494Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/@radix-ui_react-tabs.js
2025-09-30T03:38:30.494Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/@radix-ui_react-accordion.js
2025-09-30T03:38:30.494Z - GET /src/components/dicom/boolean-operations-toolbar-new.tsx
2025-09-30T03:38:30.495Z - GET /src/lib/undo-system.ts
2025-09-30T03:38:30.495Z - GET /src/components/dicom/viewer-toolbar.tsx
2025-09-30T03:38:30.495Z - GET /src/components/dicom/margin-toolbar.tsx
2025-09-30T03:38:30.495Z - GET /src/components/dicom/error-modal.tsx
2025-09-30T03:38:30.495Z - GET /src/components/dicom/contour-edit-toolbar.tsx
2025-09-30T03:38:30.495Z - GET /src/components/dicom/series-selector.tsx
2025-09-30T03:38:30.495Z - GET /src/components/dicom/working-viewer.tsx
2025-09-30T03:38:30.498Z - GET /src/lib/undo-system.ts
2025-09-30T03:38:30.498Z - GET /src/components/dicom/boolean-operations-toolbar-new.tsx
2025-09-30T03:38:30.498Z - GET /src/components/dicom/margin-toolbar.tsx
2025-09-30T03:38:30.501Z - GET /src/lib/dicom-utils.ts
2025-09-30T03:38:30.501Z - GET /src/lib/dicom-utils.ts
2025-09-30T03:38:30.502Z - GET /src/lib/fusion-utils.ts
2025-09-30T03:38:30.503Z - GET /src/lib/cornerstone-config.ts
2025-09-30T03:38:30.503Z - GET /src/lib/fusion-utils.ts
2025-09-30T03:38:30.503Z - GET /src/lib/cornerstone-config.ts
2025-09-30T03:38:30.503Z - GET /src/hooks/use-series-selection.ts
2025-09-30T03:38:30.503Z - GET /src/components/dicom/loading-progress.tsx
2025-09-30T03:38:30.503Z - GET /src/components/dicom/loading-progress.tsx
2025-09-30T03:38:30.503Z - GET /src/components/dicom/patient-preview-card.tsx
2025-09-30T03:38:30.504Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/react-dropzone.js
2025-09-30T03:38:30.504Z - GET /src/components/patient-manager/metadata-edit-dialog.tsx
2025-09-30T03:38:30.507Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/date-fns.js
2025-09-30T03:38:30.507Z - GET /src/components/dicom/fusion-debug-dialog.tsx
2025-09-30T03:38:30.508Z - GET /src/hooks/use-series-selection.ts
2025-09-30T03:38:30.509Z - GET /src/components/ui/separator.tsx
2025-09-30T03:38:30.509Z - GET /src/components/ui/slider.tsx
2025-09-30T03:38:30.509Z - GET /src/components/patient-manager/dicom-thumbnail.tsx
2025-09-30T03:38:30.509Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-DKA7LSZL.js
2025-09-30T03:38:30.509Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-6ZMM2PAV.js
2025-09-30T03:38:30.509Z - GET /src/components/ui/switch.tsx
2025-09-30T03:38:30.509Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-U7P2NEEE.js
2025-09-30T03:38:30.509Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-6WBQ3PW6.js
2025-09-30T03:38:30.515Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-43G6IMPT.js
2025-09-30T03:38:30.515Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-J6AMDN3W.js
2025-09-30T03:38:30.515Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-4RO2SXZU.js
2025-09-30T03:38:30.515Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-MRCEO6PK.js
2025-09-30T03:38:30.515Z - GET /src/components/ui/progress.tsx
2025-09-30T03:38:30.515Z - GET /src/components/ui/separator.tsx
2025-09-30T03:38:30.515Z - GET /src/components/ui/slider.tsx
2025-09-30T03:38:30.516Z - GET /src/components/ui/switch.tsx
2025-09-30T03:38:30.516Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/dicom-parser.js
2025-09-30T03:38:30.516Z - GET /src/components/ui/progress.tsx
2025-09-30T03:38:30.556Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/@radix-ui_react-separator.js
2025-09-30T03:38:30.556Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/@radix-ui_react-switch.js
